2020-12-11 11:02:29.864 [main] INFO  org.jeecg.JeecgApplication:50 - Starting JeecgApplication on DESKTOP-PURPLPH with PID 4576 (C:\workSpace\eclipseWorkSpace\smartParking_20200715\smartParking_20200715\SmartParking\jeecg-boot\jeecg-boot-module-system\target\classes started by htphy-1 in C:\workSpace\eclipseWorkSpace\smartParking_20200715\smartParking_20200715\SmartParking\jeecg-boot)
2020-12-11 11:02:29.896 [main] INFO  org.jeecg.JeecgApplication:679 - The following profiles are active: prod
2020-12-11 11:02:38.586 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-11 11:02:38.609 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-12-11 11:02:39.061 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:182 - Finished Spring Data repository scanning in 381ms. Found 0 repository interfaces.
2020-12-11 11:02:39.972 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'shiroConfig' of type [org.jeecg.config.ShiroConfig$$EnhancerBySpringCGLIB$$157c4276] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-11 11:02:40.165 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'shiroRealm' of type [org.jeecg.modules.shiro.authc.ShiroRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-11 11:02:40.827 [main] INFO  org.jeecg.config.ShiroConfig:200 - ===============(1)创建缓存管理器RedisCacheManager
2020-12-11 11:02:40.830 [main] INFO  org.jeecg.config.ShiroConfig:218 - ===============(2)创建RedisManager,连接Redis..URL= 127.0.0.1:6379
2020-12-11 11:02:40.855 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'redisManager' of type [org.crazycake.shiro.RedisManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-11 11:02:40.913 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-11 11:02:40.976 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-11 11:02:41.232 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f576d8e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
